ID,title,company,location,link,source,date_posted,work_type,employment_type
72,Data Analyst,Webologix Ltd/ INC,United States,https://www.linkedin.com/jobs/view/data-analyst-at-webologix-ltd-inc-4189678767,LinkedIn,10-04-2025,N/A,N/A
73,Data Analyst,iSpot,United States,https://www.linkedin.com/jobs/view/data-analyst-at-ispot-4188916579,LinkedIn,10-04-2025,N/A,N/A
74,Analyst,NielsenIQ,"New York, NY",https://www.linkedin.com/jobs/view/analyst-at-nielseniq-4209629313,LinkedIn,14-04-2025,N/A,N/A
75,Data Analyst,RYZE,United States,https://www.linkedin.com/jobs/view/data-analyst-at-ryze-4210126481,LinkedIn,16-04-2025,N/A,N/A
76,Data Analyst,DHL Express,"Plantation, FL",https://www.linkedin.com/jobs/view/data-analyst-at-dhl-express-4210119199,LinkedIn,16-04-2025,N/A,N/A
77,Business Data Analyst,LTIMindtree,"Jersey City, NJ",https://www.linkedin.com/jobs/view/business-data-analyst-at-ltimindtree-4205229246,LinkedIn,10-04-2025,N/A,N/A
78,Junior Data Analyst,CGI,"Arlington, VA",https://www.linkedin.com/jobs/view/junior-data-analyst-at-cgi-4174196292,LinkedIn,15-04-2025,N/A,N/A
79,Data Analyst,Mastech Digital,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-analyst-at-mastech-digital-4208474628,LinkedIn,14-04-2025,N/A,N/A
80,Healthcare Data Analyst I - Remote,TieTalent,"California, United States",https://www.linkedin.com/jobs/view/healthcare-data-analyst-i-remote-at-tietalent-4157944871,LinkedIn,16-04-2025,N/A,N/A
81,Data Analyst - 100% Remote,Lensa,"Jacksonville, FL",https://www.linkedin.com/jobs/view/data-analyst-100%25-remote-at-lensa-4210125836,LinkedIn,16-04-2025,N/A,N/A
82,Data Analyst,Equiliem,"Lexington, MA",https://www.linkedin.com/jobs/view/data-analyst-at-equiliem-4209764107,LinkedIn,16-04-2025,N/A,N/A
83,Data Analyst,AARATECH,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/data-analyst-at-aaratech-4208452855,LinkedIn,14-04-2025,N/A,N/A
